Titulo,Genero,original_language,Productora,Pais de produccion,Lanzamiento,Presupuesto,Ganancias
Underworld,Fantasy-Action-Thriller,en,Lakeshore Entertainment,Germany,2003,$22000000,$95708457.0
Captain Fantastic,Adventure-Comedy-Drama-Romance,en,Electric City Entertainment,United States of America,2016,$5000000,$14904961.0
Beyond the Mat,Documentary,en,Imagine Entertainment,United States of America,1999,$2053648,$500000.0
Terminator 2- Judgment Day,Action-Thriller-Science Fiction,en,Lightstorm Entertainment,France,1991,$100000000,$520000000.0
Point Break,Action-Thriller-Crime,en,20th Century Fox,United States of America,1991,$24000000,$83531958.0
Kill List,,en,Rook Films,United Kingdom,2011,$500000,$171760.0
Point Blank,Action-Adventure-Crime-Drama-Mystery-Thriller,en,Metro-Goldwyn-Mayer (MGM),United States of America,1967,$2500000,$3200000.0
Pieta,Drama,ko,Good Film Company,South Korea,2012,$103000,$3623330.0
Single White Female,Thriller,en,Columbia Pictures,United States of America,1992,$16000000,$48017402.0
The Vow,Drama-Romance,en,Spyglass Entertainment,United States of America,2012,$30000000,$196114570.0
Vasool Raja MBBS,Comedy,ta,Raaj Kamal Films International,India,2004,$3000000,$10000000.0
The Jacket,Drama-Mystery-Thriller-Fantasy,en,Section Eight,Germany,2005,$29000000,$21126225.0
Mary Reilly,Drama-Horror-Thriller-Romance,en,TriStar Pictures,United States of America,1996,$47000000,$12379402.0
Topaz,Action-Drama-Mystery-Thriller,en,Universal Pictures,United States of America,1969,$4000000,$6000000.0
Tim,Romance-Drama,en,none,Australia,1979,$600000,$809000.0
Made,Action-Comedy-Thriller,en,Artisan Entertainment,United States of America,2001,$5000000,$5476060.0
Promised Land,Drama,en,Participant Media,United Arab Emirates,2012,$15000000,$8138788.0
Transporter 2,Action-Thriller-Crime,en,Canal Plus,France,2005,$32000000,$85167639.0
I Was a Teenage Werewolf,Drama-Fantasy-Horror-Science Fiction,en,Sunset Productions,United States of America,1957,$82000,$2000000.0
The Sweeney,Action-Drama-Crime,en,Vertigo Films,United Kingdom,2012,$3730500,$6294161.0
Highlander,Adventure-Action-Fantasy,en,Davis-Panzer Productions,United Kingdom,1986,$16000000,$5900000.0
Ronin,Action-Thriller-Crime-Adventure,en,United Artists,France,1998,$55000000,$41610884.0
Crooked Arrows,Drama,en,none,United States of America,2012,$13000000,$1832541.0
On Her Majesty's Secret Service,Adventure-Action-Thriller,en,United Artists,United Kingdom,1969,$6500000,$81974493.0
The Road,Adventure-Drama,en,2929 Productions,United States of America,2009,$32000000,$27635305.0
The Ring,Horror-Mystery,en,DreamWorks SKG,Japan,2002,$48000000,$249348933.0
The Mission,Adventure-Drama-Action-History,en,Goldcrest Films International,France,1986,$24500000,$17218023.0
Whiskey Tango Foxtrot,War-Comedy,en,Paramount Pictures,United States of America,2016,$35000000,$23083334.0
The Happening,Thriller-Science Fiction,en,Spyglass Entertainment,United States of America,2008,$60000000,$163403799.0
Dawn of the Planet of the Apes,Science Fiction-Action-Drama-Thriller,en,Ingenious Media,United States of America,2014,$170000000,$710644566.0
Immortals,Fantasy-Action-Drama,en,Virgin Produced,United States of America,2011,$75000000,$226904017.0
Little Shop of Horrors,Horror-Comedy-Music,en,The Geffen Company,United States of America,1986,$25000000,$38748395.0
Elmer Gantry,Drama,en,United Artists,United States of America,1960,$3000000,$10400000.0
How to Train Your Dragon,Fantasy-Adventure-Animation-Family,en,DreamWorks Animation,United States of America,2010,$165000000,$494878759.0
Twisted,Action-Adventure-Crime-Drama-Thriller,en,Paramount Pictures,Germany,2004,$50000000,$25195000.0
The Fog,Horror-Thriller,en,Revolution Studios,Canada,2005,$18000000,$46201432.0
The Strangers,Thriller-Horror-Mystery,en,Rogue Pictures,United States of America,2008,$9000000,$82391145.0
Rock-A-Doodle,Comedy-Family-Animation-Fantasy-Music,en,Goldcrest Films International,Ireland,1991,$18000000,$11657385.0
Bottle Rocket,Comedy-Crime-Drama,en,Gracie Films,United States of America,1996,$7000000,$560069.0
Flashdance,Drama-Music-Romance,en,Paramount Pictures,United States of America,1983,$4000000,$92921203.0
Think Like a Man,Comedy-Romance,en,Rainforest Films,United States of America,2012,$12000000,$96070507.0
Riding Giants,Documentary,en,none,France,2004,$2600000,$3166000.0
Christian Brothers,Action-Drama,ml,AVA Productions,United Kingdom,2011,$1200000,$2400000.0
Mulan- Rise of a Warrior,Adventure-Drama-Action,zh,Starlight International Media,China,2009,$12000000,$13380561.0
King Arthur- Legend of the Sword,Action-Drama-Fantasy,en,Weed Road Pictures,United States of America,2017,$175000000,$140331333.0
Rescue Dawn,Adventure-Drama-War,en,Metro-Goldwyn-Mayer (MGM),United States of America,2006,$10000000,$7177143.0
Dragon- The Bruce Lee Story,Drama,en,Universal Pictures,United States of America,1993,$14000000,$63513743.0
The Boondock Saints,Action-Thriller-Crime,en,Franchise Pictures,Canada,1999,$6000000,$30471.0
Interstellar,Adventure-Drama-Science Fiction,en,Paramount Pictures,Canada,2014,$165000000,$675120017.0
